id,ortho,cgram,genre,nombre,freqfilms,verper,cvcv,iddersyll,nbsyll,haspir
5997,anglo-irlandais,ADJ,m,s,0.0,,V,1200,5,-1
5998,anglo-normand,ADJ,m,s,0.0,,V,2964,4,-1
5999,anglo-normande,ADJ,f,s,0.0,,V,2968,4,-1
6000,anglo-normandes,ADJ,f,p,0.04,,V,2968,4,-1
6001,anglo-russe,ADJ,m,s,0.01,,V,360,3,-1
6002,anglo-russes,ADJ,f,p,0.01,,V,390,3,-1
6003,anglo-saxon,ADJ,m,s,0.23,,V,4314,4,-1
6004,anglo-saxon,NOM,m,s,0.04,,V,4314,4,-1
6005,anglo-saxonne,ADJ,f,s,0.04,,V,3909,4,-1
6006,anglo-saxonnes,ADJ,f,p,0.18,,V,3909,4,-1
6007,anglo-saxons,ADJ,m,p,0.03,,V,4314,4,-1
6008,anglo-saxons,NOM,m,p,0.0,,V,4314,4,-1
6009,anglo-soviétique,ADJ,,s,0.02,,V,4626,5,-1
6010,anglo-égyptien,ADJ,m,s,0.0,,V,4001,5,-1
6011,anglo-égyptienne,ADJ,f,s,0.01,,V,4014,5,-1
6012,anglo-éthiopien,ADJ,m,s,0.0,,V,3636,5,-1
6013,anglomane,ADJ,,s,0.0,,V,3051,3,-1
6014,anglomanes,ADJ,,p,0.0,,V,3051,3,-1
6015,anglomanie,NOM,f,s,0.0,,V,3290,4,-1
6016,anglophile,ADJ,f,s,0.02,,V,1663,3,-1
6017,anglophile,NOM,,s,0.01,,V,1663,3,-1
6018,anglophobe,ADJ,,s,0.01,,V,1542,3,-1
6019,anglophobes,NOM,,p,0.0,,V,1542,3,-1
6020,anglophobie,NOM,f,s,0.0,,V,999,4,-1
6021,anglophone,ADJ,,s,0.09,,V,1549,3,-1
6022,anglophones,ADJ,,p,0.01,,V,1549,3,-1
6023,anglophones,NOM,,p,0.01,,V,1549,3,-1
6024,angoissa,VER,,,0.0,3s,V,3918,3,-1
6025,angoissaient,VER,,,0.01,3p,V,3861,3,-1
