id,ortho,cgram,genre,nombre,freqfilms,verper,cvcv,iddersyll,nbsyll,haspir
73614,irradiantes,ADJ,f,p,0.04,,V,1387,3,-1
73615,irradiation,NOM,f,s,0.26,,V,4038,4,-1
73616,irradiations,NOM,f,p,0.01,,V,4038,4,-1
73617,irradie,VER,,,0.13,2s-1s-3s,V,1356,3,-1
73618,irradier,VER,,,0.01,,V,1415,3,-1
73619,irradiera,VER,,,0.01,3s,V,229,4,-1
73620,irradiez,VER,,,0.0,2p,V,1415,3,-1
73621,irradié,VER,m,s,0.27,,V,1415,3,-1
73622,irradiée,VER,f,s,0.06,,V,1415,3,-1
73623,irradiées,VER,f,p,0.03,,V,1415,3,-1
73624,irradiés,VER,m,p,0.1,,V,1415,3,-1
73625,irraisonnable,ADJ,,s,0.01,,V,3261,4,-1
73626,irraisonné,ADJ,m,s,0.03,,V,3287,4,-1
73627,irraisonnée,ADJ,f,s,0.02,,V,3287,4,-1
73628,irraisonnés,ADJ,m,p,0.01,,V,3287,4,-1
73629,irrationalité,NOM,f,s,0.04,,V,4605,6,-1
73630,irrationnel,ADJ,m,s,0.61,,V,3223,4,-1
73631,irrationnelle,ADJ,f,s,0.77,,V,3223,4,-1
73632,irrationnellement,ADV,,,0.01,,V,2964,6,-1
73633,irrationnelles,ADJ,f,p,0.16,,V,3223,4,-1
73634,irrationnels,ADJ,m,p,0.1,,V,3223,4,-1
73635,irrattrapable,ADJ,m,s,0.12,,V,3579,4,-1
73636,irrattrapables,ADJ,,p,0.0,,V,3579,4,-1
73637,irrecevabilité,NOM,f,s,0.02,,V,4605,7,-1
73638,irrecevable,ADJ,,s,0.61,,V,4892,4,-1
73639,irrecevables,ADJ,,p,0.12,,V,4892,4,-1
73640,irremplaçable,ADJ,,s,1.11,,V,3927,4,-1
73641,irremplaçables,ADJ,,p,0.13,,V,3927,4,-1
73642,irreprésentable,ADJ,,s,0.0,,V,4579,5,-1
73643,irrespect,NOM,m,s,0.13,,V,3465,3,-1
73644,irrespectueuse,ADJ,f,s,0.04,,V,4338,4,-1
73645,irrespectueusement,ADV,,,0.02,,V,2964,6,-1
73646,irrespectueuses,ADJ,f,p,0.0,,V,4338,4,-1
73647,irrespectueux,ADJ,m,,0.68,,V,4337,4,-1
73648,irrespirable,ADJ,,s,0.61,,V,236,4,-1
73649,irrespirables,ADJ,f,p,0.0,,V,236,4,-1
73650,irresponsabilité,NOM,f,s,1.45,,V,4605,7,-1
73651,irresponsable,ADJ,,s,4.99,,V,3927,4,-1
73652,irresponsables,ADJ,,p,1.3,,V,3927,4,-1
73653,irrigateur,ADJ,m,s,0.01,,V,4361,4,-1
73654,irrigateurs,NOM,m,p,0.0,,V,4361,4,-1
73655,irrigation,NOM,f,s,0.86,,V,4038,4,-1
73656,irriguaient,VER,,,0.0,3p,V,1852,3,-1
73657,irriguait,VER,,,0.0,3s,V,1852,3,-1
73658,irriguant,VER,,,0.01,,V,1846,3,-1
73659,irrigue,VER,,,0.14,2s-3s,V,280,2,-1
73660,irriguent,VER,,,0.01,3p,V,280,2,-1
73661,irriguer,VER,,,0.17,,V,1979,3,-1
73662,irriguera,VER,,,0.02,3s,V,229,4,-1
73663,irrigueraient,VER,,,0.0,3p,V,185,4,-1
73664,irriguerait,VER,,,0.0,3s,V,185,4,-1
73665,irriguons,VER,,,0.0,1p,V,2102,3,-1
73666,irrigué,VER,m,s,0.08,,V,1979,3,-1
73667,irriguée,VER,f,s,0.03,,V,1979,3,-1
73668,irriguées,VER,f,p,0.03,,V,1979,3,-1
73669,irrigués,VER,m,p,0.01,,V,1979,3,-1
73670,irrita,VER,,,0.11,3s,V,4566,3,-1
73671,irritabilité,NOM,f,s,0.2,,V,4605,6,-1
73672,irritable,ADJ,,s,1.56,,V,4579,3,-1
73673,irritables,ADJ,f,p,0.15,,V,4579,3,-1
73674,irritai,VER,,,0.0,1s,V,4380,3,-1
73675,irritaient,VER,,,0.01,3p,V,4380,3,-1
73676,irritais,VER,,,0.01,1s,V,4380,3,-1
73677,irritait,VER,,,0.44,3s,V,4380,3,-1
73678,irritant,ADJ,m,s,0.8,,V,4368,3,-1
73679,irritant,NOM,m,s,0.07,,V,4368,3,-1
73680,irritant,VER,,,0.0,,V,4368,3,-1
73681,irritante,ADJ,f,s,0.17,,V,4379,3,-1
73682,irritantes,ADJ,f,p,0.01,,V,4379,3,-1
73683,irritants,ADJ,m,p,0.2,,V,4368,3,-1
73684,irritants,NOM,m,p,0.01,,V,4368,3,-1
73685,irritation,NOM,f,s,0.8,,V,4038,4,-1
73686,irritations,NOM,f,p,0.2,,V,4038,4,-1
73687,irrite,VER,,,2.62,2s-1s-3s-3s,V,296,2,-1
73688,irritent,VER,,,0.2,3p,V,296,2,-1
73689,irriter,VER,,,0.79,,V,4605,3,-1
73690,irritera,VER,,,0.01,3s,V,229,4,-1
73691,irriterait,VER,,,0.02,3s,V,185,4,-1
73692,irriterons,VER,,,0.01,1p,V,394,4,-1
73693,irritez,VER,,,0.08,2p-2p,V,4605,3,-1
73694,irritons,VER,,,0.0,1p,V,4757,3,-1
73695,irritât,VER,,,0.0,3s,V,4566,3,-1
73696,irritèrent,VER,,,0.0,3p,V,4382,3,-1
73697,irrité,VER,m,s,1.29,,V,4605,3,-1
73698,irritée,VER,f,s,0.82,,V,4605,3,-1
73699,irritées,VER,f,p,0.22,,V,4605,3,-1
73700,irrités,VER,m,p,0.07,,V,4605,3,-1
73701,irroration,NOM,f,s,0.0,,V,4038,4,-1
73702,irruption,NOM,f,s,2.79,,V,4038,3,-1
73703,irruptions,NOM,f,p,0.03,,V,4038,3,-1
73704,irréalisable,ADJ,,s,0.47,,V,5122,5,-1
73705,irréalisables,ADJ,m,p,0.03,,V,5122,5,-1
73706,irréalisait,VER,,,0.0,3s,V,5072,5,-1
73707,irréalise,VER,,,0.0,3s,V,2823,4,-1
73708,irréalisme,NOM,m,s,0.0,,V,2824,4,-1
73709,irréaliste,ADJ,,s,0.35,,V,2818,4,-1
73710,irréalistes,ADJ,,p,0.1,,V,2818,4,-1
73711,irréalisé,ADJ,m,s,0.0,,V,5141,5,-1
73712,irréalisés,ADJ,m,p,0.0,,V,5141,5,-1
73713,irréalité,NOM,f,s,0.14,,V,4605,5,-1
73714,irréconciliable,ADJ,,s,0.28,,V,2852,5,-1
73715,irréconciliables,ADJ,f,p,0.04,,V,2852,5,-1
73716,irrécupérable,ADJ,,s,0.81,,V,236,5,-1
73717,irrécupérables,ADJ,,p,0.18,,V,236,5,-1
73718,irrécusable,ADJ,,s,0.02,,V,5122,4,-1
73719,irrécusables,ADJ,m,p,0.0,,V,5122,4,-1
73720,irréductible,ADJ,,s,0.0,,V,4620,4,-1
73721,irréductiblement,ADV,,,0.01,,V,2964,6,-1
73722,irréductibles,ADJ,,p,0.29,,V,4620,4,-1
73723,irréel,ADJ,m,s,1.87,,V,55,3,-1
73724,irréel,NOM,m,s,0.07,,V,55,3,-1
73725,irréelle,ADJ,f,s,0.86,,V,55,3,-1
73726,irréellement,ADV,,,0.0,,V,2964,5,-1
73727,irréelles,ADJ,f,p,0.07,,V,55,3,-1
73728,irréels,ADJ,m,p,0.04,,V,55,3,-1
73729,irréfléchi,ADJ,m,s,0.4,,V,475,4,-1
73730,irréfléchie,ADJ,f,s,0.34,,V,475,4,-1
73731,irréfléchis,ADJ,m,p,0.18,,V,475,4,-1
73732,irréfragable,ADJ,,s,0.07,,V,1963,4,-1
73733,irréfutable,ADJ,,s,0.97,,V,4579,4,-1
73734,irréfutablement,ADV,,,0.03,,V,2964,6,-1
73735,irréfutables,ADJ,,p,0.6,,V,4579,4,-1
73736,irrégularité,NOM,f,s,0.54,,V,4605,6,-1
73737,irrégularités,NOM,f,p,0.42,,V,4605,6,-1
73738,irrégulier,ADJ,m,s,1.44,,V,2860,4,-1
73739,irrégulier,NOM,m,s,0.17,,V,2860,4,-1
73740,irréguliers,ADJ,m,p,0.38,,V,2860,4,-1
73741,irréguliers,NOM,m,p,0.04,,V,2860,4,-1
73742,irrégulière,ADJ,f,s,0.59,,V,2834,4,-1
73743,irrégulière,NOM,f,s,0.04,,V,2834,4,-1
73744,irrégulièrement,ADV,,,0.03,,V,2964,6,-1
73745,irrégulières,ADJ,f,p,0.29,,V,2834,4,-1
73746,irréligieuse,ADJ,f,s,0.01,,V,671,4,-1
73747,irréligieux,ADJ,m,s,0.03,,V,670,4,-1
73748,irréligiosité,NOM,f,s,0.0,,V,4605,6,-1
73749,irrémissible,ADJ,,s,0.16,,V,3974,4,-1
73750,irrémédiable,ADJ,,s,0.52,,V,1406,4,-1
73751,irrémédiablement,ADV,,,1.12,,V,2964,6,-1
73752,irrémédiables,ADJ,,p,0.06,,V,1406,4,-1
73753,irréparable,ADJ,,s,1.33,,V,236,4,-1
73754,irréparablement,ADV,,,0.0,,V,2964,6,-1
73755,irréparables,ADJ,,p,0.4,,V,236,4,-1
73756,irrépressible,ADJ,,s,0.79,,V,3974,4,-1
73757,irrépressibles,ADJ,,p,0.16,,V,3974,4,-1
73758,irréprochable,ADJ,,s,1.82,,V,461,4,-1
73759,irréprochablement,ADV,,,0.0,,V,2964,6,-1
73760,irréprochables,ADJ,,p,0.56,,V,461,4,-1
73761,irrésistible,ADJ,,s,4.33,,V,4620,4,-1
73762,irrésistiblement,ADV,,,0.14,,V,2964,6,-1
73763,irrésistibles,ADJ,,p,0.33,,V,4620,4,-1
73764,irrésolu,ADJ,m,s,0.04,,V,2909,4,-1
73765,irrésolue,ADJ,f,s,0.17,,V,2909,4,-1
73766,irrésolues,ADJ,f,p,0.07,,V,2909,4,-1
73767,irrésolus,ADJ,m,p,0.05,,V,2909,4,-1
73768,irrésolution,NOM,f,s,0.01,,V,4038,5,-1
73769,irrétrécissable,ADJ,,s,0.01,,V,3927,5,-1
73770,irréversibilité,NOM,f,s,0.0,,V,4605,7,-1
73771,irréversible,ADJ,,s,1.33,,V,3974,4,-1
73772,irréversiblement,ADV,,,0.15,,V,2964,6,-1
73773,irréversibles,ADJ,,p,0.59,,V,3974,4,-1
73774,irrévocabilité,NOM,f,s,0.01,,V,4605,7,-1
73775,irrévocable,ADJ,,s,0.68,,V,2399,4,-1
73776,irrévocablement,ADV,,,0.21,,V,2964,6,-1
73777,irrévocables,ADJ,,p,0.14,,V,2399,4,-1
73778,irrévérence,NOM,f,s,0.3,,V,180,4,-1
73779,irrévérencieuse,ADJ,f,s,0.1,,V,4000,5,-1
73780,irrévérencieusement,ADV,,,0.0,,V,2964,7,-1
73781,irrévérencieuses,ADJ,f,p,0.0,,V,4000,5,-1
73782,irrévérencieux,ADJ,m,s,0.06,,V,3999,5,-1
73783,isabelle,ADJ,,,1.85,,V,831,3,-1
73784,isabelle,NOM,m,s,0.16,,V,831,3,-1
73785,isard,NOM,m,s,0.0,,V,5117,2,-1
73786,isards,NOM,m,p,0.0,,V,5117,2,-1
73787,isatis,NOM,m,,0.0,,V,4634,3,-1
73788,isba,NOM,f,s,0.4,,V,963,2,-1
73789,isbas,NOM,f,p,0.0,,V,963,2,-1
73790,ischion,NOM,m,s,0.01,,V,2471,2,-1
73791,ischémie,NOM,f,s,0.23,,V,3060,3,-1
73792,ischémique,ADJ,,s,0.13,,V,3070,3,-1
73793,islam,NOM,m,s,2.84,,V,4109,2,-1
73794,islamique,ADJ,,s,1.3,,V,3070,3,-1
73795,islamiques,ADJ,,p,0.2,,V,3070,3,-1
73796,islamisants,ADJ,m,p,0.0,,V,5066,4,-1
73797,islamiser,VER,,,0.01,,V,5141,4,-1
73798,islamisme,NOM,m,s,0.01,,V,3084,3,-1
73799,islamiste,ADJ,,s,0.15,,V,3079,3,-1
73800,islamistes,ADJ,m,p,0.04,,V,3079,3,-1
73801,islamistes,NOM,,p,0.09,,V,3079,3,-1
73802,islamisée,ADJ,f,s,0.0,,V,5141,4,-1
73803,islamisées,VER,f,p,0.0,,V,5141,4,-1
73804,islandais,ADJ,m,s,0.29,,V,1200,3,-1
73805,islandais,NOM,m,,0.05,,V,1200,3,-1
73806,islandaise,ADJ,f,s,0.15,,V,1224,3,-1
73807,ismaélien,NOM,m,s,0.01,,V,2827,4,-1
73808,ismaéliens,NOM,m,p,0.0,,V,2827,4,-1
73809,ismaélite,ADJ,m,s,0.01,,V,2819,4,-1
73810,ismaïliens,NOM,m,p,0.0,,V,2827,4,-1
73811,isme,NOM,m,s,0.34,,V,2124,1,-1
73812,isochronisme,NOM,m,s,0.01,,V,3315,4,-1
73813,isocèle,ADJ,,s,0.05,,V,3880,3,-1
73814,isola,VER,,,0.04,3s,V,2754,3,-1
73815,isolables,ADJ,m,p,0.0,,V,2765,3,-1
73816,isolai,VER,,,0.0,1s,V,2696,3,-1
73817,isolaient,VER,,,0.02,3p,V,2696,3,-1
73818,isolais,VER,,,0.01,1s-2s,V,2696,3,-1
73819,isolait,VER,,,0.05,3s,V,2696,3,-1
73820,isolant,ADJ,m,s,0.14,,V,2686,3,-1
73821,isolant,NOM,m,s,0.45,,V,2686,3,-1
73822,isolant,VER,,,0.18,,V,2686,3,-1
73823,isolante,ADJ,f,s,0.13,,V,2695,3,-1
73824,isolateur,ADJ,m,s,0.0,,V,4361,4,-1
73825,isolateur,NOM,m,s,0.0,,V,4361,4,-1
73826,isolateurs,ADJ,m,p,0.01,,V,4361,4,-1
73827,isolateurs,NOM,m,p,0.0,,V,4361,4,-1
73828,isolation,NOM,f,s,1.02,,V,4038,4,-1
73829,isolationnisme,NOM,m,s,0.05,,V,3323,5,-1
73830,isolationniste,ADJ,f,s,0.02,,V,3316,5,-1
73831,isolations,NOM,f,p,0.0,,V,4038,4,-1
73832,isole,VER,,,1.36,2s-1s-3s,V,5105,2,-1
73833,isolement,NOM,m,s,5.63,,V,2964,4,-1
73834,isolements,NOM,m,p,0.0,,V,2964,4,-1
73835,isolent,VER,,,0.46,3p,V,5105,2,-1
73836,isoler,VER,,,4.62,,V,2794,3,-1
73837,isolera,VER,,,0.03,3s,V,229,4,-1
73838,isoleraient,VER,,,0.0,3p,V,185,4,-1
73839,isolerait,VER,,,0.01,3s,V,185,4,-1
73840,isoleront,VER,,,0.02,3p,V,394,4,-1
73841,isolez,VER,,,0.65,2p-2p,V,2794,3,-1
73842,isoliez,VER,,,0.0,2p,V,2860,3,-1
73843,isolions,VER,,,0.03,1p,V,2864,3,-1
73844,isoloir,NOM,m,s,0.58,,V,2898,3,-1
73845,isoloirs,NOM,m,p,0.16,,V,2898,3,-1
73846,isolèrent,VER,,,0.0,3p,V,2697,3,-1
73847,isolé,VER,m,s,3.59,,V,2794,3,-1
73848,isolé,ADJ,m,s,4.08,,V,2794,3,-1
73849,isolé,NOM,m,s,0.45,,V,2794,3,-1
73850,isolée,VER,f,s,1.73,,V,2794,3,-1
73851,isolée,ADJ,f,s,1.98,,V,2794,3,-1
73852,isolées,VER,f,p,0.35,,V,2794,3,-1
73853,isolées,ADJ,f,p,0.32,,V,2794,3,-1
73854,isolément,ADV,,,0.14,,V,2964,4,-1
73855,isolés,VER,m,p,0.94,,V,2794,3,-1
73856,isolés,ADJ,m,p,1.79,,V,2794,3,-1
73857,isolés,NOM,m,p,0.39,,V,2794,3,-1
73858,isomère,ADJ,f,s,0.25,,V,2975,3,-1
73859,isométrique,ADJ,f,s,0.02,,V,4513,4,-1
73860,isoniazide,NOM,m,s,0.01,,V,5150,4,-1
73861,isorel,NOM,m,s,0.0,,V,197,3,-1
73862,isotherme,ADJ,m,s,0.11,,V,4383,3,-1
73863,isothermique,ADJ,f,s,0.01,,V,3070,4,-1
73864,isotonique,ADJ,f,s,0.1,,V,3305,4,-1
73865,isotope,NOM,m,s,0.37,,V,4428,3,-1
73866,isotopes,NOM,m,p,0.26,,V,4428,3,-1
73867,isotopique,ADJ,f,s,0.04,,V,3618,4,-1
73868,israélien,ADJ,m,s,2.22,,V,2827,4,-1
73869,israélien,NOM,m,s,0.48,,V,2827,4,-1
73870,israélienne,ADJ,f,s,1.54,,V,2839,4,-1
73871,israélienne,NOM,f,s,0.01,,V,2839,4,-1
73872,israéliennes,ADJ,f,p,0.15,,V,2839,4,-1
73873,israéliennes,NOM,f,p,0.03,,V,2839,4,-1
73874,israéliens,ADJ,m,p,1.73,,V,2827,4,-1
73875,israéliens,NOM,m,p,4.0,,V,2827,4,-1
73876,israélite,ADJ,,s,0.57,,V,2819,4,-1
73877,israélite,NOM,,s,0.03,,V,2819,4,-1
73878,israélites,ADJ,m,p,0.14,,V,2819,4,-1
73879,israélites,NOM,,p,0.39,,V,2819,4,-1
73880,israélo-arabe,ADJ,f,s,0.01,,V,235,6,-1
73881,israélo-syrienne,ADJ,f,s,0.14,,V,312,6,-1
73882,issu,ADJ,m,s,2.1,,V,4300,2,-1
73883,issue,ADJ,f,s,1.59,,V,4300,2,-1
73884,issue,NOM,f,s,13.7,,V,4300,2,-1
73885,issues,ADJ,f,p,0.26,,V,4300,2,-1
73886,issues,NOM,f,p,2.82,,V,4300,2,-1
73887,issus,ADJ,m,p,1.29,,V,4300,2,-1
73888,isthme,NOM,m,s,0.19,,V,2130,1,-1
73889,isthmes,NOM,m,p,0.0,,V,2130,1,-1
73890,isthmique,ADJ,f,s,0.01,,V,3070,2,-1
73891,italianisme,NOM,m,s,0.0,,V,3323,4,-1
73892,italiano,NOM,m,s,0.24,,V,3363,4,-1
73893,italien,ADJ,m,s,13.01,,V,2827,3,-1
73894,italien,NOM,m,s,11.31,,V,2827,3,-1
73895,italienne,ADJ,f,s,7.56,,V,2839,3,-1
73896,italienne,NOM,f,s,2.87,,V,2839,3,-1
73897,italiennes,ADJ,f,p,1.54,,V,2839,3,-1
73898,italiennes,NOM,f,p,0.58,,V,2839,3,-1
73899,italiens,ADJ,m,p,4.54,,V,2827,3,-1
73900,italiens,NOM,m,p,9.07,,V,2827,3,-1
73901,italique,ADJ,m,s,0.12,,V,2809,3,-1
73902,italiques,ADJ,f,p,0.02,,V,2809,3,-1
73903,italo-allemande,ADJ,f,s,0.0,,V,2968,6,-1
73904,italo-allemandes,ADJ,f,p,0.0,,V,2968,6,-1
73905,italo-américain,ADJ,m,s,0.15,,V,2215,7,-1
73906,italo-américaine,ADJ,f,s,0.04,,V,2266,7,-1
73907,italo-brésilien,ADJ,m,s,0.0,,V,2827,6,-1
73908,italo-français,ADJ,m,,0.0,,V,3861,5,-1
73909,italo-françaises,ADJ,f,p,0.0,,V,3896,5,-1
73910,italo-irlandais,ADJ,m,,0.01,,V,1200,6,-1
73911,italo-polonais,ADJ,m,,0.0,,V,3209,6,-1
73912,italo-égyptien,ADJ,m,s,0.0,,V,4001,6,-1
73913,ite missa est,NOM,m,,0.0,,V,63,5,-1
73914,item,ADV,,,0.03,,V,4400,2,-1
73915,item,NOM,m,s,0.09,,V,4400,2,-1
73916,ithos,NOM,m,,0.0,,V,4430,2,-1
73917,ithyphallique,ADJ,m,s,0.0,,V,2809,4,-1
73918,itinéraire,NOM,m,s,3.25,,V,187,4,-1
73919,itinéraires,NOM,m,p,0.93,,V,187,4,-1
73920,itinérant,ADJ,m,s,0.39,,V,170,4,-1
73921,itinérant,NOM,m,s,0.01,,V,170,4,-1
73922,itinérante,ADJ,f,s,0.06,,V,181,4,-1
73923,itinérantes,ADJ,f,p,0.01,,V,181,4,-1
73924,itinérants,ADJ,m,p,0.05,,V,170,4,-1
73925,itinérants,NOM,m,p,0.2,,V,170,4,-1
73926,itou,ADV,,,0.3,,V,4700,2,-1
73927,iules,NOM,m,p,0.0,,V,2205,1,-1
73928,ive,NOM,f,s,0.01,,V,2127,1,-1
73929,ives,NOM,f,p,0.81,,V,2127,1,-1
73930,ivoire,ADJ,,,0.28,,V,4985,2,-1
73931,ivoire,NOM,m,s,1.96,,V,4985,2,-1
73932,ivoires,NOM,m,p,0.02,,V,4985,2,-1
73933,ivoirien,ADJ,m,s,0.0,,V,303,3,-1
73934,ivoirienne,NOM,f,s,0.0,,V,312,3,-1
73935,ivoirin,ADJ,m,s,0.0,,V,149,3,-1
73936,ivoirine,NOM,f,s,0.0,,V,287,3,-1
73937,ivoirines,NOM,f,p,0.0,,V,287,3,-1
73938,ivoirins,ADJ,m,p,0.0,,V,149,3,-1
73939,ivraie,NOM,f,s,0.21,,V,4859,2,-1
73940,ivre,ADJ,,s,16.59,,V,2128,1,-1
73941,ivres,ADJ,,p,1.72,,V,2128,1,-1
73942,ivresse,NOM,f,s,3.29,,V,4861,2,-1
73943,ivresses,NOM,f,p,0.27,,V,4861,2,-1
73944,ivrognait,VER,,,0.0,3s,V,81,3,-1
73945,ivrognasse,VER,,,0.0,1s,V,101,3,-1
73946,ivrogne,ADJ,,s,2.14,,V,4864,2,-1
73947,ivrogne,NOM,,s,7.81,,V,4864,2,-1
73948,ivrogner,VER,,,0.0,,V,103,3,-1
73949,ivrognerie,NOM,f,s,0.21,,V,268,4,-1
73950,ivrognes,ADJ,,p,0.17,,V,4864,2,-1
73951,ivrognes,NOM,,p,2.79,,V,4864,2,-1
73952,ivrognesse,NOM,f,s,0.01,,V,84,3,-1
73953,ixe,VER,,,0.0,3s,V,2117,1,-1
73954,ixième,ADJ,f,s,0.0,,V,4013,2,-1
73955,j,NOM,m,,64.31,,C,583,1,-1
73956,j,PRO:per,,s,3.16,,C,583,1,-1
73957,jabadao,NOM,m,s,0.0,,C,3414,4,-1
73958,jabot,NOM,m,s,0.15,,C,1102,2,-1
73959,jaboter,VER,,,0.0,,C,4605,3,-1
73960,jabots,NOM,m,p,0.01,,C,1102,2,-1
73961,jacarandas,NOM,m,p,0.0,,C,1323,4,-1
73962,jacassaient,VER,,,0.01,3p,C,3861,3,-1
73963,jacassais,VER,,,0.01,1s,C,3861,3,-1
73964,jacassait,VER,,,0.04,3s,C,3861,3,-1
73965,jacassant,ADJ,m,s,0.0,,C,3848,3,-1
73966,jacassant,VER,,,0.03,,C,3848,3,-1
73967,jacassante,ADJ,f,s,0.0,,C,3859,3,-1
73968,jacassantes,ADJ,f,p,0.0,,C,3859,3,-1
73969,jacassants,ADJ,m,p,0.0,,C,3848,3,-1
73970,jacasse,NOM,f,s,0.02,,C,2420,2,-1
73971,jacasse,VER,,,0.33,1s-3s,C,2420,2,-1
73972,jacassement,NOM,m,s,0.03,,C,2964,4,-1
73973,jacassements,NOM,m,p,0.04,,C,2964,4,-1
73974,jacassent,VER,,,0.13,3p,C,2420,2,-1
73975,jacasser,VER,,,0.91,,C,3949,3,-1
73976,jacasseraient,VER,,,0.0,3p,C,185,4,-1
73977,jacasserie,NOM,f,s,0.0,,C,268,4,-1
73978,jacasseries,NOM,f,p,0.04,,C,268,4,-1
73979,jacasses,NOM,f,p,0.0,,C,2420,2,-1
73980,jacasses,VER,,,0.05,2s,C,2420,2,-1
73981,jacasseur,NOM,m,s,0.03,,C,3844,3,-1
73982,jacasseurs,NOM,m,p,0.0,,C,3844,3,-1
73983,jacasseuse,NOM,f,s,0.01,,C,3811,3,-1
73984,jacassez,VER,,,0.04,2p-2p,C,3949,3,-1
73985,jacassiers,NOM,m,p,0.0,,C,4031,3,-1
73986,jacassiez,VER,,,0.0,2p,C,4031,3,-1
73987,jacassière,NOM,f,s,0.0,,C,4008,3,-1
73988,jacassé,VER,m,s,0.03,,C,3949,3,-1
73989,jachère,NOM,f,s,0.12,,C,427,2,-1
73990,jachères,NOM,f,p,0.0,,C,427,2,-1
73991,jacinthe,NOM,f,s,0.01,,C,3820,2,-1
73992,jacinthes,NOM,f,p,0.14,,C,3820,2,-1
73993,jack,NOM,m,s,1.86,,C,1315,1,-1
73994,jacket,NOM,f,s,0.04,,C,2270,2,-1
73995,jackets,NOM,f,p,0.19,,C,2257,2,-1
73996,jackpot,NOM,m,s,1.96,,C,3737,2,-1
73997,jacks,NOM,m,p,0.4,,C,634,1,-1
73998,jacob,NOM,m,s,0.09,,C,2281,2,-1
73999,jacobin,ADJ,m,s,0.1,,C,784,3,-1
74000,jacobin,NOM,m,s,0.0,,C,784,3,-1
74001,jacobine,ADJ,f,s,0.0,,C,1017,3,-1
74002,jacobins,ADJ,m,p,0.01,,C,784,3,-1
74003,jacobins,NOM,m,p,0.0,,C,784,3,-1
74004,jacobite,ADJ,m,s,0.05,,C,1026,3,-1
74005,jacobite,NOM,,s,0.04,,C,1026,3,-1
74006,jacobites,ADJ,f,p,0.02,,C,1026,3,-1
74007,jacobites,NOM,,p,0.14,,C,1026,3,-1
74008,jacobées,NOM,f,p,0.0,,C,995,3,-1
74009,jacot,NOM,m,s,0.0,,C,2543,2,-1
74010,jacquard,NOM,m,s,0.11,,C,2388,2,-1
74011,jacqueline,ADV,,,0.0,,C,2812,3,-1
74012,jacqueline,NOM,f,s,0.01,,C,2812,3,-1
74013,jacquemart,NOM,m,s,0.0,,C,3026,3,-1
74014,jacquemarts,NOM,m,p,0.0,,C,3026,3,-1
74015,jacqueries,NOM,f,p,0.0,,C,268,3,-1
74016,jacques,NOM,m,,3.12,,C,634,1,-1
74017,jacquet,NOM,m,s,0.25,,C,2257,2,-1
74018,jacquier,NOM,m,s,0.0,,C,2469,2,-1
74019,jacquot,NOM,m,s,0.01,,C,2543,2,-1
74020,jactais,VER,,,0.0,1s,C,4380,2,-1
74021,jactait,VER,,,0.0,3s,C,4380,2,-1
74022,jactance,NOM,f,s,0.4,,C,4378,2,-1
74023,jactancier,ADJ,m,s,0.0,,C,4031,3,-1
74024,jactant,VER,,,0.0,,C,4368,2,-1
74025,jacte,VER,,,0.17,2s-1s-3s,C,636,1,-1
74026,jactent,VER,,,0.0,3p,C,636,1,-1
74027,jacter,VER,,,0.14,,C,4605,2,-1
74028,jacteraient,VER,,,0.0,3p,C,185,3,-1
74029,jacterais,VER,,,0.01,2s,C,185,3,-1
74030,jactes,VER,,,0.01,2s,C,636,1,-1
74031,jacteur,ADJ,m,s,0.0,,C,4361,2,-1
74032,jacteur,NOM,m,s,0.0,,C,4361,2,-1
74033,jactez,VER,,,0.01,2p-2p,C,4605,2,-1
74034,jactions,VER,,,0.0,1p,C,4670,2,-1
74035,jacté,VER,m,s,0.02,,C,4605,2,-1
74036,jaculatoire,ADJ,f,s,0.0,,C,4724,4,-1
74037,jacuzzi,NOM,m,s,3.32,,C,5143,3,-1
74038,jacuzzis,NOM,m,p,0.14,,C,5143,3,-1
74039,jade,ADJ,,,0.03,,C,631,1,-1
74040,jade,NOM,m,s,0.63,,C,631,1,-1
74041,jades,NOM,m,p,0.03,,C,631,1,-1
74042,jadis,ADJ,,,0.5,,C,1374,2,-1
74043,jadis,ADV,,,11.55,,C,1374,2,-1
74044,jaffa,VER,,,0.79,3s,C,1622,2,-1
74045,jaffas,VER,,,4.57,2s,C,1622,2,-1
74046,jaffe,NOM,f,s,0.17,,C,632,1,-1
74047,jaffer,VER,,,0.05,,C,1647,2,-1
74048,jaguar,NOM,m,s,0.65,,C,2079,2,-1
74049,jaguarondi,NOM,m,s,0.01,,C,1356,4,-1
74050,jaguars,NOM,m,p,0.27,,C,2079,2,-1
74051,jailli,VER,m,s,0.69,,C,2182,2,-1
74052,jaillie,VER,f,s,0.05,,C,2182,2,-1
74053,jaillies,VER,f,p,0.0,,C,2182,2,-1
74054,jaillir,VER,,,2.03,,C,2184,2,-1
74055,jaillira,VER,,,0.34,3s,C,229,3,-1
74056,jailliraient,VER,,,0.0,3p,C,185,3,-1
74057,jaillirait,VER,,,0.01,3s,C,185,3,-1
74058,jaillirent,VER,,,0.06,3p,C,2184,2,-1
74059,jailliront,VER,,,0.03,3p,C,394,3,-1
74060,jaillis,VER,m,p,0.15,1s-2s,C,2182,2,-1
74061,jaillissaient,VER,,,0.07,3p,C,3861,3,-1
74062,jaillissait,VER,,,0.17,3s,C,3861,3,-1
74063,jaillissant,VER,,,0.17,,C,3848,3,-1
